CountryName,CountryCode,Date,School closing,Stay at home requirements,ConfirmedCases,ConfirmedDeaths,StringencyIndex
Aruba,ABW,3/1/2020,0,0,,,0
Aruba,ABW,3/2/2020,0,0,,,0
Aruba,ABW,3/3/2020,0,0,,,0
Aruba,ABW,3/4/2020,0,0,,,0
Aruba,ABW,3/5/2020,0,0,,,0
Aruba,ABW,3/6/2020,0,0,,,0
Aruba,ABW,3/7/2020,0,0,,,0
Aruba,ABW,3/8/2020,0,0,,,0
Aruba,ABW,3/9/2020,0,0,,,0
Aruba,ABW,3/10/2020,0,0,,,0
Aruba,ABW,3/11/2020,0,0,,,0
Aruba,ABW,3/12/2020,0,0,,,0
Aruba,ABW,3/13/2020,0,0,2,0,0
Aruba,ABW,3/14/2020,0,0,,,0
Aruba,ABW,3/15/2020,0,0,,,10.71
Aruba,ABW,3/16/2020,3,0,,,25
Aruba,ABW,3/17/2020,3,0,,,25
Aruba,ABW,3/18/2020,3,0,,,39.29
Aruba,ABW,3/19/2020,3,0,,,39.29
Aruba,ABW,3/20/2020,3,0,4,0,39.29
Afghanistan,AFG,3/1/2020,0,0,1,0,23.81
Afghanistan,AFG,3/2/2020,0,0,1,0,27.38
Afghanistan,AFG,3/3/2020,0,0,,,27.38
Afghanistan,AFG,3/4/2020,0,0,,,27.38
Afghanistan,AFG,3/5/2020,0,0,,,27.38
Afghanistan,AFG,3/6/2020,0,0,,,27.38
Afghanistan,AFG,3/7/2020,0,0,,,27.38
Afghanistan,AFG,3/8/2020,0,0,4,0,27.38
Afghanistan,AFG,3/9/2020,0,0,,,27.38
Afghanistan,AFG,3/10/2020,0,0,,,27.38
Afghanistan,AFG,3/11/2020,0,0,7,0,27.38
Afghanistan,AFG,3/12/2020,0,0,,,27.38
Afghanistan,AFG,3/13/2020,0,0,,,27.38
Afghanistan,AFG,3/14/2020,3,0,,,41.67
Afghanistan,AFG,3/15/2020,3,0,10,0,41.67
Afghanistan,AFG,3/16/2020,3,0,16,0,41.67
Afghanistan,AFG,3/17/2020,3,0,21,0,41.67
Afghanistan,AFG,3/18/2020,3,0,22,0,46.43
Afghanistan,AFG,3/19/2020,3,0,22,0,46.43
Afghanistan,AFG,3/20/2020,3,0,22,0,46.43
Afghanistan,AFG,3/21/2020,3,0,24,0,46.43
Afghanistan,AFG,3/22/2020,3,0,24,0,46.43
Afghanistan,AFG,3/23/2020,3,0,34,0,46.43
